side,price,qty
bid,63653.82,0.00008
bid,63653.23,4.71805
bid,63652.35,0.00008
bid,63652.01,0.00235
bid,63652.0,0.00053
bid,63651.82,0.00008
bid,63651.77,0.00818
bid,63651.06,0.00048
bid,63650.99,0.0001
bid,63650.94,0.3037
bid,63650.52,0.00032
bid,63650.5,0.00009
bid,63650.39,0.0006
bid,63650.31,0.00008
bid,63650.05,0.00008
bid,63650.03,0.00015
bid,63650.0,7.87927
bid,63649.54,0.00009
bid,63649.22,0.00008
bid,63649.17,0.00008
bid,63649.0,0.00034
bid,63648.74,0.0001
bid,63648.7,0.00011
bid,63648.62,0.00009
bid,63648.01,0.00778
bid,63648.0,0.00024
bid,63647.69,0.00008
bid,63647.65,0.01882
bid,63647.53,0.0392
bid,63647.05,0.00633
bid,63646.88,0.00008
bid,63646.71,0.00177
bid,63645.66,0.00088
bid,63645.61,0.00008
bid,63645.1,0.0301
bid,63644.55,0.3037
bid,63644.2,0.00008
bid,63644.07,0.00032
bid,63643.96,0.00026
bid,63643.86,0.14244
bid,63643.8,0.00097
bid,63643.67,0.00008
bid,63643.65,0.00025
bid,63643.27,0.00008
bid,63643.16,0.00217
bid,63642.94,0.38366
bid,63642.42,0.00023
bid,63641.76,0.00176
bid,63641.74,0.00041
bid,63641.45,0.00008
bid,63640.92,0.00009
bid,63640.8,0.00012
bid,63640.47,0.00009
bid,63640.13,0.00008
bid,63640.0,0.01153
bid,63639.8,0.00008
bid,63639.04,0.00969
bid,63639.03,3.98746
bid,63638.8,0.00031
bid,63638.44,0.00008
bid,63638.29,0.00009
bid,63638.26,0.00366
bid,63638.17,0.00008
bid,63638.16,0.3038
bid,63637.62,0.00032
bid,63637.25,0.02443
bid,63637.11,0.00025
bid,63636.2,0.00008
bid,63636.0,0.00008
bid,63635.96,0.00139
bid,63635.71,0.00035
bid,63635.31,0.0002
bid,63635.21,0.00028
bid,63634.78,0.0019
bid,63634.72,0.00016
bid,63634.31,0.00032
bid,63634.17,0.00568
bid,63634.12,0.00008
bid,63634.02,0.00008
bid,63633.33,0.00258
bid,63633.01,0.00008
bid,63633.0,0.00785
bid,63632.69,0.0392
bid,63631.94,0.06268
bid,63631.91,0.02743
bid,63631.8,0.00009
bid,63631.78,0.00013
bid,63631.77,0.3037
bid,63631.64,0.00022
bid,63631.45,0.38366
bid,63631.25,0.00008
bid,63631.17,0.00032
bid,63631.1,0.00009
bid,63630.95,0.00293
bid,63630.76,0.00009
bid,63630.64,0.00015
bid,63630.53,0.0031
bid,63630.0,0.0105
bid,63629.95,0.00008
bid,63628.89,0.00008
bid,63628.45,0.00009
bid,63628.02,0.01882
bid,63627.46,0.00009
bid,63627.04,0.00009
bid,63626.8,0.00015
bid,63625.48,0.001
bid,63625.44,0.0001
bid,63625.39,0.00017
bid,63625.38,0.3037
bid,63625.0,0.00212
bid,63624.96,0.00009
bid,63624.72,0.00032
bid,63624.63,0.03032
bid,63624.39,0.00016
bid,63623.76,0.00039
bid,63622.11,0.00338
bid,63621.9,0.00009
bid,63621.36,0.00008
bid,63621.18,0.00032
bid,63620.61,2.45175
bid,63620.0,0.01089
bid,63619.61,0.00233
bid,63619.21,0.00028
bid,63619.13,9.44107
bid,63619.04,0.00022
bid,63618.99,0.3037
bid,63618.85,0.01143
bid,63618.56,0.00009
bid,63618.27,0.00032
bid,63618.11,0.00012
bid,63618.1,0.00011
bid,63617.76,0.00039
bid,63617.73,0.00008
bid,63616.79,0.00019
bid,63616.66,0.00228
bid,63616.0,0.00016
bid,63615.56,0.00009
bid,63615.53,0.02909
bid,63614.81,0.00032
bid,63614.25,0.08425
bid,63614.0,0.02951
bid,63613.66,0.00008
bid,63612.9,0.00009
bid,63612.72,0.00019
bid,63612.6,0.3037
bid,63612.2,0.00009
bid,63611.83,0.00032
bid,63611.76,0.00012
bid,63611.74,0.00014
bid,63611.54,0.0025
bid,63611.11,0.00023
bid,63610.52,0.00044
bid,63610.29,0.00017
bid,63610.0,0.01065
bid,63609.87,0.02335
bid,63609.25,0.00026
bid,63608.84,0.00265
bid,63608.69,0.00009
bid,63608.6,0.00008
bid,63608.33,0.00024
bid,63607.52,0.0001
bid,63607.1,0.00882
bid,63607.09,0.00557
bid,63606.21,0.30395
bid,63605.53,0.00014
bid,63605.38,0.00032
bid,63605.12,0.00563
bid,63604.7,0.00009
bid,63604.63,0.0001
bid,63604.42,0.00015
bid,63604.05,0.00767
bid,63602.0,0.00064
bid,63601.94,0.003
bid,63601.75,0.00047
bid,63600.0,1.13959
bid,63599.85,0.00038
bid,63599.82,0.3037
bid,63599.78,0.00026
bid,63599.3,0.00076
bid,63599.14,0.00032
bid,63598.93,0.00032
bid,63598.2,0.00009
bid,63596.62,0.00061
bid,63595.0,0.002
bid,63594.94,0.00009
bid,63594.73,0.00752
bid,63593.44,0.3037
bid,63592.7,0.05418
bid,63590.9,0.00014
bid,63590.76,0.00338
bid,63590.3,0.0001
bid,63589.26,0.00013
bid,63589.1,0.00346
bid,63588.51,0.00009
bid,63588.23,0.00559
bid,63587.5,0.0001
bid,63587.04,0.3037
bid,63586.33,0.00452
bid,63586.22,0.00009
bid,63585.22,0.00011
bid,63584.89,0.00104
bid,63584.75,0.00077
bid,63584.68,9.44628
bid,63584.24,0.14373
bid,63584.08,0.06715
bid,63584.0,0.0016
bid,63583.95,0.00008
bid,63583.07,0.00037
bid,63582.48,9.44661
bid,63582.23,0.00027
bid,63581.83,0.02472
bid,63580.98,0.0002
bid,63580.65,0.3037
bid,63580.6,0.00019
bid,63580.22,0.00009
bid,63580.0,0.0105
bid,63578.8,0.00008
bid,63578.76,0.0001
bid,63578.16,0.0002
bid,63577.56,1.01
bid,63577.02,0.0001
bid,63576.92,0.00008
bid,63576.81,0.0001
bid,63576.69,0.00009
bid,63576.67,0.00008
bid,63576.6,0.00015
bid,63576.21,0.01846
bid,63576.1,0.00058
bid,63575.75,0.00452
bid,63575.65,0.00014
bid,63574.56,0.00051
bid,63574.27,0.3037
bid,63573.77,0.00152
bid,63573.65,0.00008
bid,63573.24,0.00009
bid,63572.81,0.00893
bid,63572.5,0.00266
